robot,beetle1
frame_id,cog
child_frame_id,cog
time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,a1,a2,a3,a4,control effort,fc1,fc2,fc3,fc4,ac1,ac2,ac3,ac4
0.00000000,-0.00000000,-1.00000000,1.00000000,-0.00000000,-0.00000000,-0.00000000,1.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,7.19962673,5.56418991,8.95101895,10.04538012,2.45824258,-2.06871987,-1.39550110,0.16601532
0.34771128,0.09451224,-1.24117571,0.91517466,0.74697333,-1.05829204,-0.45325292,0.70387940,-0.69770990,0.07833169,-0.10779070,-4.26630265,5.70718043,-2.71977490,1.46378019,0.22358150,-1.58447923,1.95936021,150.40235806,15.52963502,12.31618169,12.43600947,9.80588074,1.20185362,0.91037847,-1.67724586,2.53785379
0.69542255,0.66519366,-1.29999990,0.80000000,2.31876189,0.98833899,0.13932776,0.02119774,0.24813619,-0.55882914,-0.79100511,2.21597586,2.73799409,-1.45207103,-2.26815150,-1.60913959,1.15587245,-1.11686329,461.96669496,21.42361036,4.89046427,20.55559123,17.78006484,-3.38613058,-2.40064443,2.06157946,-2.27463277
1.04313383,1.51741906,-0.98214987,0.87925893,1.99518168,1.34576357,0.32359862,0.72134338,-0.61660883,-0.22954721,0.21625299,-7.44425857,-12.67727119,9.21165567,1.53183166,-0.69876027,-0.89569466,1.70273322,724.78788733,14.30275670,7.62776559,3.50622499,11.94804290,3.08194448,-0.17167606,-1.82242167,2.95052164
1.39084510,2.11565837,-0.31659259,0.81524180,0.99761661,2.35304052,-0.30935341,0.14686984,-0.57943646,-0.06643926,0.79891705,3.71295979,2.38931387,-0.47581086,-0.91131515,-1.35809907,0.86743317,1.19993925,906.68131534,8.71257086,15.39207013,12.30002031,14.95380743,-2.15514030,-1.72611168,1.70798278,0.66778225
1.73855638,2.29372584,0.45225485,0.80000001,-0.15312456,2.00269671,0.08787848,0.10172973,-0.54852822,-0.16224607,0.81390667,-2.49387677,-1.84785846,-0.04546571,-0.53056533,-0.97690472,0.69077525,1.24573825,1099.10219527,9.36029644,11.52891634,9.82784452,10.72595834,-0.03869484,-0.74532245,0.38422183,1.41865577
2.08626765,1.90000010,0.99123437,0.82580423,-2.15552007,1.01862829,0.05508530,0.23977591,-0.39966380,-0.42442297,0.77629988,-0.22959776,0.23814487,-2.26857223,0.25074351,-1.08604866,-0.52500761,1.08157457,1252.71720197,9.97210490,11.38866486,9.52150535,11.48766944,0.35484511,-1.18988594,-0.82343833,0.97755117
2.31321636,1.29185749,1.15977185,0.82721685,-2.99999751,0.59078228,-0.07560001,0.31272268,-0.25579463,-0.54739813,0.73289080,-0.32284614,-1.80448812,-1.19705940,1.12775107,-1.39828885,-1.34991096,1.49101272,1341.86752593,10.29707716,9.16186081,9.00352636,8.25262466,1.55807801,-1.52263823,-1.66801018,1.75787797
2.54016506,0.61217652,1.29326859,0.80000003,-2.98178269,0.45860936,-0.07644715,0.31910571,-0.00766573,-0.61314275,0.72261245,1.29727887,-1.22474876,-2.19584659,1.26101075,-0.58323323,-1.51781071,1.28121480,1442.61735496,13.97321591,9.35127861,13.34091727,9.99222879,1.14724886,-0.08774721,-1.47132742,1.05217061
2.76711376,-0.06034380,1.29999999,0.80664876,-2.99673620,-0.36228269,0.12986353,0.44148546,0.39522974,-0.48472367,0.64337159,0.75532296,-2.33770874,-2.71120864,1.52623422,0.93792499,-1.49257862,-1.19751134,1566.71018941,11.40373150,8.35744400,14.16867347,11.66634032,1.71914714,1.54821280,-1.49899329,-2.44193565
