robot,beetle1
frame_id,world
child_frame_id,cog
time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,a1,a2,a3,a4,control effort,fc1,fc2,fc3,fc4,ac1,ac2,ac3,ac4
0.00000000,-2.00000000,-0.00000000,1.00000000,-0.00000000,-0.00000000,-0.00000000,1.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,6.79286700,9.56630940,10.28811345,7.42653204,1.12417758,-1.03801847,1.03485208,1.34328521
0.32378369,-2.12093765,-0.16995651,1.07857317,-0.76044131,-1.29754462,0.60497767,0.82664959,-0.15297602,0.39020316,-0.37548673,-1.76566635,3.46582686,-2.80038009,0.32484633,-1.47890692,-1.13291159,1.35429701,180.82157107,11.90997970,17.22617390,13.07789141,16.30333026,0.08029977,-1.66545061,-1.85885896,1.39999946
0.64756737,-2.34157927,-0.72311246,1.36501730,-0.35357038,-1.80571608,0.98929204,0.87806896,-0.10707666,0.46634542,-0.00717216,-0.89487718,-0.97220931,5.92477072,-0.93601390,-1.13822412,0.59352921,1.36500294,371.26966202,8.63864880,10.67144318,8.72939454,8.87868538,-1.29909498,-0.95963526,1.42864991,1.35418659
0.97135106,-2.33305184,-1.34476346,1.66837185,0.68361063,-1.95669668,0.88523506,0.48040879,0.30021907,0.44378008,0.69435952,0.96625967,1.27739981,4.78285198,-1.08764143,0.95163558,0.94433190,-0.59324963,488.13055005,9.90379020,10.27787674,9.98675166,8.71619254,-1.02499628,1.62567858,0.80095742,-1.27471463
1.29513475,-1.90000003,-1.93766918,1.90000000,2.03853039,-1.54329423,0.41077567,-0.03895266,0.45113855,0.34149084,0.82361441,0.66753580,0.06683848,1.25674854,0.52634764,1.16091509,0.14843156,-1.00771154,591.77452934,8.18809900,8.69708925,7.50784641,8.10631943,1.07089163,1.01936143,-0.08426037,-0.93555707
1.60835044,-1.06217034,-2.26657812,1.91687030,3.35006104,-0.77641956,-0.26108382,0.06096111,0.33263815,0.48932267,0.80386499,0.97117515,0.18585650,-2.30327444,-1.17347511,1.38086987,0.96261329,-1.33529095,684.23904556,8.12561687,8.93007671,8.98009793,10.06280178,-1.97178278,1.50753903,1.33573865,-1.47835807
1.92156612,0.08671609,-2.48072449,1.78335039,3.71366828,-0.16627378,-0.54243283,-0.22927609,-0.00302440,0.57469863,0.78558565,-0.04052008,7.06626241,5.22136253,-0.79172984,0.59991182,-0.14287814,-1.49238970,814.00989637,10.62420870,7.74925160,10.73463141,14.98133873,-0.39022321,0.27374335,-0.66830139,-1.50259621
2.23478181,1.10050552,-2.34956543,1.64596196,2.93415617,1.09729809,-0.38055581,-0.65913111,0.49164887,-0.21199733,-0.52809536,-8.77544297,-0.71341978,9.25257901,-0.14150623,-0.27502348,1.03955238,1.53684490,942.43065852,7.52118852,8.79619147,9.81828069,9.53075230,-0.03659353,-0.48657172,1.64307131,2.64385133
2.54799750,1.90000001,-1.90000137,1.40000000,2.07762044,1.84028456,-1.05178560,-0.14867891,0.43257134,-0.22965040,-0.85909098,1.47077332,-0.72400686,-0.85202422,-0.86880117,-0.22770086,0.74144292,0.34992649,1039.38250440,8.24748815,7.87482660,9.13067970,9.22728031,-1.16826648,-0.14091835,0.43443964,-0.44640874
2.90568707,2.34746049,-1.04482548,0.95020194,0.63098940,2.88025921,-1.37672206,-0.06159217,0.37086599,-0.17056744,-0.91080820,-1.96416409,-0.22443672,0.89044337,-0.89427200,-0.48405477,0.93434339,0.65050118,1147.42738255,8.04929829,8.18618714,9.60594417,9.03518219,-0.81556806,-0.58849622,1.08281916,0.97379152
3.26337665,2.49999997,0.05997544,0.52661736,0.22759681,3.13597823,-0.75035720,-0.08697342,0.32809505,0.05014654,-0.93929473,-0.38553584,-0.16389385,-1.01349810,-0.61797826,-0.88095074,0.54734083,0.85719183,1299.43607863,11.56671742,12.97651103,11.48972675,11.15793351,-0.55521388,-0.97360324,0.38462172,0.82769189
3.62106622,2.44489442,1.10861683,0.50000001,-0.70434517,2.62113096,0.60947291,0.02488307,0.30978437,0.13647448,-0.94063234,-0.64538527,-0.11904626,1.72851079,-0.32659788,-0.62094477,0.26034799,0.61649426,1495.89497153,11.29881567,12.81114071,11.37028106,10.89882775,-0.25455495,-0.51367564,0.21856422,0.55052100
3.97875579,1.90000000,1.90000008,0.90000002,-2.39518052,1.83299285,1.43853742,0.43105354,0.40422960,0.06143153,-0.80437395,-0.35846392,0.94874608,3.25646455,-0.59521736,-0.53908145,0.41226157,0.54864424,1657.59844313,9.45696298,10.12975021,9.80023155,9.03936730,-0.69919354,-0.54475834,0.47136468,0.54671830
