timestep,esc_msg_time_ms,esc_receive_time_ms,force_msg_time_ms,force_receive_time_ms,force_x,force_y,force_z,force_norm,torque_x,torque_y,torque_z,power_current,rotor0_target_thrust,rotor0_rpm,rotor0_esc_current,rotor0_esc_voltage,rotor0_temperature,rotor0_crc_error
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0,0.000000,0.000000,0,0
0.010096,1782129026028.934814,1782129026030.357666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,900,121.170000,24.760000,38,44
0.020114,1782129026037.934814,1782129026040.426270,1782129026039.839600,1782129026040.416504,-0.015000,-0.030000,0.030000,0.045000,0.000800,0.000800,-0.004400,0.000000,5.000000,900,121.170000,24.760000,38,185
0.030094,1782129026048.934814,1782129026050.451660,1782129026039.839600,1782129026040.416504,-0.015000,-0.030000,0.030000,0.045000,0.000800,0.000800,-0.004400,0.000000,5.000000,900,121.170000,24.760000,38,23
0.040119,1782129026057.934814,1782129026060.430664,1782129026059.850342,1782129026060.440674,0.030000,-0.180000,-0.060000,0.192094,0.032000,0.002800,-0.080000,0.000000,5.000000,900,121.170000,24.760000,38,169
0.050121,1782129026057.934814,1782129026060.430664,1782129026069.843262,1782129026070.445801,0.105000,0.150000,0.030000,0.185540,-0.017200,0.012000,-0.049600,0.000000,5.000000,900,121.170000,24.760000,38,169
0.060079,1782129026068.934814,1782129026080.447266,1782129026079.843994,1782129026080.456543,0.045000,0.240000,0.090000,0.260240,-0.035200,0.004800,-0.019600,0.000000,5.000000,900,121.170000,24.760000,38,166
0.070100,1782129026080.934814,1782129026090.400391,1782129026089.844482,1782129026090.408203,-0.060000,0.120000,0.060000,0.146969,-0.021600,-0.006400,-0.021200,0.000000,5.000000,900,121.170000,24.760000,38,88
0.080111,1782129026092.934814,1782129026100.424805,1782129026099.845703,1782129026100.434570,-0.120000,0.000000,0.000000,0.120000,0.001600,-0.012000,-0.018400,0.000000,5.000000,4985,119.480000,24.680000,38,109
0.090111,1782129026104.934814,1782129026110.454590,1782129026109.943115,1782129026110.467285,-0.090000,-0.060000,0.000000,0.108167,0.015600,-0.007600,-0.010000,0.000000,5.000000,5557,119.920000,24.740000,38,0
0.100017,1782129026112.934814,1782129026120.437012,1782129026119.848145,1782129026120.447266,-0.015000,-0.135000,0.000000,0.135831,0.009200,0.002800,-0.008800,0.000000,5.000000,5557,119.920000,24.740000,38,7
0.110098,1782129026124.934814,1782129026130.336426,1782129026129.846436,1782129026130.342773,0.075000,-0.060000,-0.030000,0.100623,-0.002000,0.008000,-0.004000,0.000000,5.000000,5671,120.690000,24.800000,38,0
0.120087,1782129026137.934814,1782129026140.422852,1782129026129.846436,1782129026130.342773,0.075000,-0.060000,-0.030000,0.100623,-0.002000,0.008000,-0.004000,0.000000,5.000000,5671,120.690000,24.800000,38,94
0.130020,1782129026144.934814,1782129026150.411377,1782129026149.846436,1782129026150.420166,0.045000,0.105000,0.030000,0.118110,-0.008000,0.003200,-0.007200,0.000000,5.000000,5671,120.690000,24.800000,38,87
0.140188,1782129026157.934814,1782129026160.332764,1782129026159.846680,1782129026160.340332,0.060000,0.030000,-0.030000,0.073485,-0.008000,0.005600,-0.003200,0.000000,5.000000,5671,120.690000,24.800000,38,175
0.150152,1782129026168.934814,1782129026170.510498,1782129026169.847900,1782129026170.501709,0.030000,-0.015000,0.030000,0.045000,-0.001600,0.003600,-0.005600,0.000000,5.000000,5671,120.690000,24.800000,38,45
0.160110,1782129026168.934814,1782129026170.510498,1782129026179.849365,1782129026180.481934,-0.015000,-0.150000,0.000000,0.150748,0.005600,0.002000,0.002000,0.000000,5.000000,5671,120.690000,24.800000,38,45
0.170100,1782129026180.934814,1782129026190.423828,1782129026189.846436,1782129026190.432129,-0.015000,-0.150000,0.030000,0.153704,0.012400,0.000000,-0.000800,0.000000,5.000000,5671,120.690000,24.800000,38,138
0.180015,1782129026192.934814,1782129026200.424316,1782129026199.847900,1782129026200.433594,-0.015000,-0.045000,0.030000,0.056125,0.007600,-0.002000,-0.004400,0.000000,5.000000,5671,120.690000,24.800000,38,215
0.190134,1782129026200.934814,1782129026210.329102,1782129026209.847168,1782129026210.336670,0.015000,0.060000,0.030000,0.068739,-0.003600,-0.002400,-0.006400,0.000000,5.000000,5671,120.690000,24.800000,38,237
0.200024,1782129026212.934814,1782129026220.446533,1782129026219.846924,1782129026220.456299,0.030000,0.120000,0.030000,0.127279,-0.010800,-0.000800,-0.002400,0.000000,5.000000,5671,120.320000,24.760000,38,119
0.210078,1782129026224.934814,1782129026230.344482,1782129026219.846924,1782129026220.456299,0.030000,0.120000,0.030000,0.127279,-0.010800,-0.000800,-0.002400,0.100000,5.000000,5700,120.770000,24.780000,38,0
0.220116,1782129026232.934814,1782129026240.390381,1782129026239.847168,1782129026240.398193,-0.015000,-0.075000,0.030000,0.082158,0.003600,0.000400,-0.006400,0.100000,5.000000,5700,120.770000,24.780000,38,110
0.230083,1782129026244.934814,1782129026250.444092,1782129026249.848145,1782129026250.454102,0.000000,-0.075000,0.060000,0.096047,0.005200,-0.000400,-0.007600,0.100000,5.000000,5700,120.770000,24.780000,38,130
0.240099,1782129026257.934814,1782129026260.408447,1782129026259.846436,1782129026260.418213,0.000000,-0.015000,0.000000,0.015000,0.002800,-0.002000,-0.004400,0.100000,5.000000,5700,120.770000,24.780000,38,224
